tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
276,1789654101.784142017,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
277,1789654101.794129133,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
278,1789654101.804127693,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
279,1789654101.814142466,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
280,1789654101.824169874,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
281,1789654101.834134340,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
282,1789654101.844131470,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
283,1789654101.854173899,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
284,1789654101.864146233,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
285,1789654101.874129295,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
286,1789654101.884166479,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
287,1789654101.894155502,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
288,1789654101.904129982,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
289,1789654101.914141178,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
290,1789654101.924126863,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
291,1789654101.934133530,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
292,1789654101.944185972,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
293,1789654101.954164505,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
294,1789654101.964169025,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
295,1789654101.974129677,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
296,1789654101.984141111,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
297,1789654101.994147062,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
298,1789654102.004158974,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
299,1789654102.014163017,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
300,1789654102.024127007,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
301,1789654102.034133911,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
302,1789654102.044158936,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
303,1789654102.054122925,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
304,1789654102.064123869,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
305,1789654102.074132681,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
306,1789654102.084163666,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
307,1789654102.094128609,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
